"Date","Main Pollutant","Overall AQI Value","CO","SO2","NO2","Ozone","PM10","PM25"
"01/01/2018","PM2.5","180","40","3","56","44","42","180"
"01/02/2018","PM2.5","141","24","3","67","36","33","141"
"01/03/2018","PM2.5","110","27","6","84","28","35","110"
"01/04/2018","PM2.5","85","24","4","62","29","32","85"
"01/05/2018","PM2.5","68","17","4","56","31","21","68"
"01/06/2018","PM2.5","61","9","4","32","35","31","61"
"01/07/2018","PM2.5","76","9","4","35","35","30","76"
"01/08/2018","PM2.5","63","11","1","37","24","14","63"
"01/09/2018","PM2.5","48","10","1","43","39","6","48"
"01/10/2018","PM2.5","64","13","3","37","32","17","64"
"01/11/2018","PM2.5","78","18","3","48","31","27","78"
"01/12/2018","PM2.5","112","26","3","57","36","19","112"
"01/13/2018","PM2.5","55","22","1","42","42","17","55"
"01/14/2018","PM2.5","48","17","3","47","41","13","48"
"01/15/2018","PM2.5","81","22","10","62","40","24","81"
"01/16/2018","PM2.5","81","16","4","60","37","35","81"
"01/17/2018","PM2.5","92","24","4","71","35","21","92"
"01/18/2018","PM2.5","82","26","4","57","37","27","82"
"01/19/2018","PM2.5","69","11","1","38","37","30","69"
"01/20/2018","Ozone","40","5","1","27","40","9","38"
"01/21/2018","PM2.5","56","13","4","40","36","8","56"
"01/22/2018","PM2.5","65","19","3","42","39","18","65"
"01/23/2018","PM2.5","56","15","1","49","36","17","56"
"01/24/2018","PM2.5","46","16","6","46","41","26","46"
"01/25/2018","PM2.5","52","16","1","41","39","18","52"
"01/26/2018","PM2.5","56","16","1","41","40","26","56"
"01/27/2018","PM2.5","65","23","1","45","42","18","65"
"01/28/2018","PM2.5","68","30","16","45","42","14","68"
"01/29/2018","NO2","68","31","3","68","35","18","60"
"01/30/2018","NO2","56","17","4","56","31","32","53"
"01/31/2018","NO2","78","26","6","78","30","26","68"
"02/01/2018","PM2.5","101","28","4","88","40","26","101"
"02/02/2018","PM2.5","94","23","7","85","42","25","94"
"02/03/2018","PM2.5","109","32","7","89","54","29","109"
"02/04/2018","PM2.5","91","20","3","45","74","20","91"
"02/05/2018","PM2.5","71","16","3","47","47","26","71"
"02/06/2018","PM2.5","97","8","1","50","43","35","97"
"02/07/2018","PM2.5","79","17","1","64","42","24","79"
"02/08/2018","NO2","81","25","3","81","42","28","76"
"02/09/2018","PM2.5","65","16","3","46","46","29","65"
"02/10/2018","PM2.5","88","9","0","33","44","42","88"
"02/11/2018","PM2.5","73","23","3","30","47","64","73"
"02/12/2018","PM2.5","51","6","1","33","42","31","51"
"02/13/2018","PM2.5","50","6","1","41","41","16","50"
"02/14/2018","PM2.5","54","13","1","51","41","16","54"
"02/15/2018","PM2.5","55","13","3","51","44","16","55"
"02/16/2018","NO2","58","18","4","58","44","18","48"
"02/17/2018","PM2.5","55","16","6","42","50","19","55"
"02/18/2018","PM2.5","56","17","1","34","54","15","56"
"02/19/2018","Ozone","43","5","1","25","43","20","31"
"02/20/2018","NO2","51","9","3","51","39","17","39"
"02/21/2018","NO2","50","10","1","50","44","15","45"
"02/22/2018","PM2.5","60","14","1","42","43","15","60"
"02/23/2018","Ozone","45","6","3","37","45","9","43"
"02/24/2018","PM2.5","49","10","1","42","46","14","49"
"02/25/2018","PM2.5","47","14","1","40","47","12","47"
"02/26/2018","NO2","56","23","4","56","44","12","53"
"02/27/2018","NO2","47","8","0","47","43","6","43"
"02/28/2018","PM2.5","59","14","1","47","40","12","59"
"03/01/2018","PM2.5","59","13","1","41","44","17","59"
"03/02/2018","PM2.5","50","6","1","32","39","9","50"
"03/03/2018","PM2.5","48","7","1","31","44","12","48"
"03/04/2018","PM2.5","57","13","3","33","43","7","57"
"03/05/2018","NO2","51","15","4","51","45","7","35"
"03/06/2018","NO2","60","13","3","60","47","10","33"
"03/07/2018","NO2","61","16","6","61","37","21","56"
"03/08/2018","NO2","60","14","9","60","44","24","53"
"03/09/2018","PM2.5","67","10","3","37","39","26","67"
"03/10/2018","PM2.5","76","5","1","25","27","22","76"
"03/11/2018","PM2.5","53","5","1","26","34","9","53"
"03/12/2018","PM2.5","61","6","3","31","41","25","61"
"03/13/2018","PM2.5","54","6","3","33","31","24","54"
"03/14/2018","Ozone","41","3","0","27","41","7","39"
"03/15/2018","Ozone","45","5","1","26","45","7","32"
"03/16/2018","PM2.5","42","6","1","31","39","12","42"
"03/17/2018","Ozone","43","3","0","22","43","7","38"
"03/18/2018","PM2.5","52","7","3","25","44","11","52"
"03/19/2018","PM2.5","52","14","3","40","46","11","52"
"03/20/2018","PM2.5","53","14","7","43","42","22","53"
"03/21/2018","PM2.5","60","9","3","41","32","16","60"
"03/22/2018","PM2.5","57","9","1","29","35","10","57"
"03/23/2018","PM2.5","51","5","3","33","45","11","51"
"03/24/2018","PM2.5","53","6","1","24","46","16","53"
"03/25/2018","Ozone","49","3","1","21","49","14","48"
"03/26/2018","Ozone","46","10","3","41","46","14","38"
"03/27/2018","Ozone","47","8","13","42","47","19","39"
"03/28/2018","PM2.5","58","11","4","41","45","20","58"
"03/29/2018","Ozone","84","8","4","39","84","31","65"
"03/30/2018","Ozone","105","9","7","41","105","37","81"
"03/31/2018","Ozone","90","9","7","36","90","33","89"
"04/01/2018","CO","5","5",".",".",".",".","."
