site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840060374008,1,10,20170101T1700-0800,88101,60,0,6.7,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,
840060374008,1,10,20170101T0800-0800,88101,60,0,80.6,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,IH
840060374008,1,10,20170101T1800-0800,88101,60,0,9.1,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,
840060374008,1,10,20170101T0200-0800,88101,60,0,105.4,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,IH
840060374008,1,10,20170101T2100-0800,88101,60,0,16.5,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,
840060374008,1,10,20170101T0900-0800,88101,60,0,37.3,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,IH
840060374008,1,10,20170101T1900-0800,88101,60,0,14.1,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,
840060374008,1,10,20170101T0700-0800,88101,60,0,109.3,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,IH
840060374008,1,10,20170101T2000-0800,88101,60,0,19.9,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,
840060374008,1,10,20170101T1200-0800,88101,60,0,3.2,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,
840060374008,1,10,20170101T0000-0800,88101,60,0,49.1,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,IH
840060374008,1,10,20170101T2300-0800,88101,60,0,25.2,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,
840060374008,1,10,20170101T0400-0800,88101,60,0,86.5,105,0,3,33.859444,-118.200278,WGS84,12,183,1,2,,IH
END OF FILE
